Country,Capital,Latitude,Longitude,Continent
Abkhazia,Sukhumi,43.001525,41.023415,Unknown
Afghanistan,Kabul,34.575503,69.240073,Asia
Aland Islands,Mariehamn,60.1,19.933333,Europe
Albania,Tirana,41.327546,19.818698,Europe
Algeria,Algiers,36.752887,3.042048,Africa
American Samoa,Pago Pago,-14.275632,-170.702036,Oceania
Andorra,Andorra la Vella,42.506317,1.521835,Europe
Angola,Luanda,-8.839988,13.289437,Africa
Anguilla,The Valley,18.214813,-63.057441,North America
Antarctica,South Pole,-90.0,0.0,Antarctica
Antigua and Barbuda,St. John's,17.12741,-61.846772,North America
Argentina,Buenos Aires,-34.603684,-58.381559,South America
Armenia,Yerevan,40.179186,44.499103,Asia
Aruba,Oranjestad,12.509204,-70.008631,North America
Australia,Canberra,-35.282,149.128684,Oceania
Austria,Vienna,48.208174,16.373819,Europe
Azerbaijan,Baku,40.409262,49.867092,Asia
Bahamas,Nassau,25.047984,-77.355413,North America
Bahrain,Manama,26.228516,50.58605,Asia
Bangladesh,Dhaka,23.810332,90.412518,Asia
Barbados,Bridgetown,13.113222,-59.598809,North America
Belarus,Minsk,53.90454,27.561524,Europe
Belgium,Brussels,50.85034,4.35171,Europe
Belize,Belmopan,17.251011,-88.75902,North America
Benin,Porto-Novo,6.496857,2.628852,Africa
Bermuda,Hamilton,32.294816,-64.781375,North America
Bhutan,Thimphu,27.472792,89.639286,Asia
Bolivia,La Paz,-16.489689,-68.119294,South America
Bosnia and Herzegovina,Sarajevo,43.856259,18.413076,Europe
Botswana,Gaborone,-24.628208,25.923147,Africa
Bouvet Island,Bouvet Island,-54.43,3.38,Antarctica
Brazil,Brasília,-15.794229,-47.882166,South America
British Indian Ocean Territory,Camp Justice,21.3419,55.4778,Asia
British Virgin Islands,Road Town,18.428612,-64.618466,North America
Brunei,Bandar Seri Begawan,4.903052,114.939821,Asia
Bulgaria,Sofia,42.697708,23.321868,Europe
Burkina Faso,Ouagadougou,12.371428,-1.51966,Africa
Burundi,Bujumbura,-3.361378,29.359878,Africa
Cambodia,Phnom Penh,11.544873,104.892167,Asia
Cameroon,Yaoundé,3.848033,11.502075,Africa
Canada,Ottawa,45.42153,-75.697193,North America
Cape Verde,Praia,14.93305,-23.513327,Africa
Cayman Islands,George Town,19.286932,-81.367439,North America
Central African Republic,Bangui,4.394674,18.55819,Africa
Chad,N'Djamena,12.134846,15.055742,Africa
Chile,Santiago,-33.44889,-70.669265,South America
China,Beijing,39.904211,116.407395,Asia
Christmas Island,Flying Fish Cove,-10.420686,105.679379,Asia
Cocos (Keeling) Islands,West Island,-12.188834,96.829316,Asia
Colombia,Bogotá,4.710989,-74.072092,South America
Comoros,Moroni,-11.717216,43.247315,Africa
Congo (DRC),Kinshasa,-4.441931,15.266293,Africa
Congo (Republic),Brazzaville,-4.26336,15.242885,Africa
Cook Islands,Avarua,-21.212901,-159.782306,Oceania
Costa Rica,San José,9.928069,-84.090725,North America
Côte d'Ivoire,Yamoussoukro,6.827623,-5.289343,Africa
Croatia,Zagreb ,45.815011,15.981919,Europe
Cuba,Havana,23.05407,-82.345189,North America
Curaçao,Willemstad,12.122422,-68.882423,North America
Cyprus,Nicosia,35.185566,33.382276,Asia
Czech Republic,Prague,50.075538,14.4378,Europe
Denmark,Copenhagen,55.676097,12.568337,Europe
Djibouti,Djibouti,11.572077,43.145647,Africa
Dominica,Roseau,15.309168,-61.379355,North America
Dominican Republic,Santo Domingo,18.486058,-69.931212,North America
Ecuador,Quito,-0.180653,-78.467838,South America
Egypt,Cairo,30.04442,31.235712,Africa
El Salvador,San Salvador,13.69294,-89.218191,North America
Equatorial Guinea,Malabo,3.750412,8.737104,Africa
Eritrea,Asmara,15.322877,38.925052,Africa
Estonia,Tallinn,59.436961,24.753575,Europe
Ethiopia,Addis Ababa,8.980603,38.757761,Africa
Falkland Islands (Islas Malvinas),Stanley,-51.697713,-57.851663,South America
Faroe Islands,Tórshavn,62.007864,-6.790982,Europe
Fiji,Suva,-18.124809,178.450079,Oceania
Finland,Helsinki,60.173324,24.941025,Europe
France,Paris,48.856614,2.352222,Europe
French Guiana,Cayenne,4.92242,-52.313453,South America
French Polynesia,Papeete,-17.551625,-149.558476,Oceania
French Southern Territories,Saint-Pierre ,-21.3419,55.4778,Unknown
Gabon,Libreville,0.416198,9.467268,Africa
Gambia,Banjul,13.454876,-16.579032,Africa
Georgia,Tbilisi,41.715138,44.827096,Asia
Germany,Berlin,52.520007,13.404954,Europe
Ghana,Accra,5.603717,-0.186964,Africa
Gibraltar,Gibraltar,36.140773,-5.353599,Europe
Greece,Athens,37.983917,23.72936,Europe
Greenland,Nuuk,64.18141,-51.694138,North America
Grenada,St. George's,12.056098,-61.7488,North America
Guadeloupe,Basse-Terre,16.014453,-61.706411,North America
Guam,Hagåtña,13.470891,144.751278,Oceania
Guatemala,Guatemala City,14.634915,-90.506882,North America
Guernsey,St. Peter Port,49.455443,-2.536871,Europe
Guinea,Conakry,9.641185,-13.578401,Africa
Guinea-Bissau,Bissau,11.881655,-15.617794,Africa
Guyana,Georgetown,6.801279,-58.155125,South America
Haiti,Port-au-Prince,18.594395,-72.307433,North America
Honduras,Tegucigalpa,14.072275,-87.192136,North America
Hong Kong,Hong Kong,22.396428,114.109497,Asia
Hungary,Budapest,47.497912,19.040235,Europe
Iceland,Reykjavík,64.126521,-21.817439,Europe
India,New Delhi,28.613939,77.209021,Asia
Indonesia,Jakarta,-6.208763,106.845599,Asia
Iran,Tehran,35.689198,51.388974,Asia
Iraq,Baghdad,33.312806,44.361488,Asia
Ireland,Dublin,53.349805,-6.26031,Europe
Isle of Man,Douglas,54.152337,-4.486123,Europe
Israel,Tel Aviv,32.0853,34.781768,Asia
Italy,Rome,41.902784,12.496366,Europe
Jamaica,Kingston,18.042327,-76.802893,North America
Japan,Tokyo,35.709026,139.731992,Asia
Jersey,St. Helier,49.186823,-2.106568,Europe
Jordan,Amman,31.956578,35.945695,Asia
Kazakhstan,Astana,51.160523,71.470356,Asia
Kenya,Nairobi,-1.292066,36.821946,Africa
Kiribati,Tarawa Atoll,1.451817,172.971662,Oceania
Kosovo,Pristina,42.662914,21.165503,Europe
Kuwait,Kuwait City,29.375859,47.977405,Asia
Kyrgyzstan,Bishkek,42.874621,74.569762,Asia
Laos,Vientiane,17.975706,102.633104,Asia
Latvia,Riga,56.949649,24.105186,Europe
Lebanon,Beirut,33.888629,35.495479,Asia
Lesotho,Maseru,-29.363219,27.51436,Africa
Liberia,Monrovia,6.290743,-10.760524,Africa
Libya,Tripoli,32.887209,13.191338,Africa
Liechtenstein,Vaduz,47.14103,9.520928,Europe
Lithuania,Vilnius,54.687156,25.279651,Europe
Luxembourg,Luxembourg,49.611621,6.131935,Europe
Macau,Macau,22.166667,113.55,Asia
Macedonia (FYROM),Skopje,41.997346,21.427996,Europe
Madagascar,Antananarivo,-18.87919,47.507905,Africa
Malawi,Lilongwe,-13.962612,33.774119,Africa
Malaysia,Kuala Lumpur,3.139003,101.686855,Asia
Maldives,Malé,4.175496,73.509347,Asia
Mali,Bamako,12.639232,-8.002889,Africa
Malta,Valletta,35.898909,14.514553,Europe
Marshall Islands,Majuro,7.116421,171.185774,Oceania
Martinique,Fort-de-France,14.616065,-61.05878,North America
Mauritania,Nouakchott,18.07353,-15.958237,Africa
Mauritius,Port Louis,-20.166896,57.502332,Africa
Mayotte,Mamoudzou,-12.780949,45.227872,Africa
Mexico,Mexico City,19.432608,-99.133208,North America
Micronesia,Palikir,6.914712,158.161027,Unknown
Moldova,Chisinau,47.010453,28.86381,Europe
Monaco,Monaco,43.737411,7.420816,Europe
Mongolia,Ulaanbaatar,47.886399,106.905744,Asia
Montenegro,Podgorica,42.43042,19.259364,Europe
Montserrat,Plymouth,16.706523,-62.215738,North America
Morocco,Rabat,33.97159,-6.849813,Africa
Mozambique,Maputo,-25.891968,32.605135,Africa
Myanmar (Burma),Naypyidaw,19.763306,96.07851,Unknown
Nagorno-Karabakh Republic,Stepanakert,39.826385,46.763595,Unknown
Namibia,Windhoek,-22.560881,17.065755,Africa
Nauru,Yaren,-0.546686,166.921091,Oceania
Nepal,Kathmandu,27.717245,85.323961,Asia
Netherlands,Amsterdam,52.370216,4.895168,Europe
Netherlands Antilles,Willemstad ,12.1091242,-68.9316546,Unknown
New Caledonia,Nouméa,-22.255823,166.450524,Oceania
New Zealand,Wellington,-41.28646,174.776236,Oceania
Nicaragua,Managua,12.114993,-86.236174,North America
Niger,Niamey,13.511596,2.125385,Africa
Nigeria,Abuja,9.076479,7.398574,Africa
Niue,Alofi,-19.055371,-169.917871,Oceania
Norfolk Island,Kingston,-29.056394,167.959588,Oceania
North Korea,Pyongyang,39.039219,125.762524,Asia
Northern Cyprus,Nicosia,35.185566,33.382276,Europe
Northern Mariana Islands,Saipan,15.177801,145.750967,Oceania
Norway,Oslo,59.913869,10.752245,Europe
Oman,Muscat,23.58589,58.405923,Asia
Pakistan,Islamabad,33.729388,73.093146,Asia
Palau,Ngerulmud,7.500384,134.624289,Oceania
Palestine,Jerusalem,31.9073509,35.5354719,Asia
Panama,Panama City,9.101179,-79.402864,North America
Papua New Guinea,Port Moresby,-9.4438,147.180267,Oceania
Paraguay,Asuncion,-25.26374,-57.575926,South America
Peru,Lima,-12.046374,-77.042793,South America
Philippines,Manila,14.599512,120.98422,Asia
Pitcairn Islands,Adamstown,-25.06629,-130.100464,Unknown
Poland,Warsaw,52.229676,21.012229,Europe
Portugal,Lisbon,38.722252,-9.139337,Europe
Puerto Rico,San Juan,18.466334,-66.105722,North America
Qatar,Doha,25.285447,51.53104,Asia
Réunion,Saint-Denis,-20.882057,55.450675,Africa
Romania,Bucharest,44.426767,26.102538,Europe
Russia,Moscow,55.755826,37.6173,Europe
Rwanda,Kigali,-1.957875,30.112735,Africa
Saint Pierre and Miquelon,St. Pierre,46.775846,-56.180636,North America
Saint Vincent and the Grenadines,Kingstown,13.160025,-61.224816,North America
Samoa,Apia,-13.850696,-171.751355,Oceania
San Marino,San Marino,43.935591,12.447281,Europe
São Tomé and Príncipe,São Tomé,0.330192,6.733343,Africa
Saudi Arabia,Riyadh,24.749403,46.902838,Asia
Senegal,Dakar,14.764504,-17.366029,Africa
Serbia,Belgrade,44.786568,20.448922,Europe
Seychelles,Victoria,-4.619143,55.451315,Africa
Sierra Leone,Freetown,8.465677,-13.231722,Africa
Singapore,Singapore,1.280095,103.850949,Asia
Slovakia,Bratislava,48.145892,17.107137,Europe
Slovenia,Ljubljana,46.056947,14.505751,Europe
Solomon Islands,Honiara,-9.445638,159.9729,Oceania
Somalia,Mogadishu,2.046934,45.318162,Africa
South Africa,Pretoria,-25.747868,28.229271,Africa
South Georgia and the South Sandwich Islands,King Edward Point,-54.28325,-36.493735,South America
South Korea,Seoul,37.566535,126.977969,Asia
South Ossetia,Tskhinvali,42.22146,43.964405,Unknown
South Sudan,Juba,4.859363,31.57125,Africa
Spain,Madrid,40.416775,-3.70379,Europe
Sri Lanka,Sri Jayawardenepura Kotte,6.89407,79.902478,Asia
St. Barthélemy,Gustavia,17.896435,-62.852201,North America
St. Kitts and Nevis,Basseterre,17.302606,-62.717692,North America
St. Lucia,Castries,14.010109,-60.987469,North America
St. Martin,Marigot,18.067519,-63.082466,North America
Sudan,Khartoum,15.500654,32.559899,Africa
Suriname,Paramaribo,5.852036,-55.203828,South America
Svalbard and Jan Mayen,Longyearbyen ,78.062,22.055,Europe
Swaziland,Mbabane,-26.305448,31.136672,Africa
Sweden,Stockholm,59.329323,18.068581,Europe
Switzerland,Bern,46.947974,7.447447,Europe
Syria,Damascus,33.513807,36.276528,Asia
Taiwan,Taipei,25.032969,121.565418,Asia
Tajikistan,Dushanbe,38.559772,68.787038,Asia
Tanzania,Dodoma,-6.162959,35.751607,Africa
Thailand,Bangkok,13.756331,100.501765,Asia
Timor-Leste,Dili,-8.556856,125.560314,Asia
Togo,Lomé,6.172497,1.231362,Africa
Tokelau,Nukunonu,-9.2005,-171.848,Oceania
Tonga,Nukuʻalofa,-21.139342,-175.204947,Oceania
Transnistria,Tiraspol,46.848185,29.596805,Unknown
Trinidad and Tobago,Port of Spain,10.654901,-61.501926,North America
Tristan da Cunha,Edinburgh of the Seven Seas,-37.068042,-12.311315,Unknown
Tunisia,Tunis,36.806495,10.181532,Africa
Turkey,Ankara,39.933364,32.859742,Europe
Turkmenistan,Ashgabat,37.960077,58.326063,Asia
Turks and Caicos Islands,Cockburn Town,21.467458,-71.13891,North America
Tuvalu,Funafuti,-8.520066,179.198128,Oceania
U.S. Virgin Islands,Charlotte Amalie,18.3419,-64.930701,North America
Uganda,Kampala,0.347596,32.58252,Africa
Ukraine,Kiev,50.4501,30.5234,Europe
United Arab Emirates,Abu Dhabi,24.299174,54.697277,Asia
United Kingdom,London,51.507351,-0.127758,Europe
United States,Washington,38.907192,-77.036871,North America
Uruguay,Montevideo,-34.901113,-56.164531,South America
Uzbekistan,Tashkent,41.299496,69.240073,Asia
Vanuatu,Port Vila,-17.733251,168.327325,Oceania
Vatican City,Vatican City,41.902179,12.453601,Europe
Venezuela,Caracas,10.480594,-66.903606,South America
Vietnam,Hanoi,21.027764,105.83416,Asia
Wallis and Futuna,Mata-Utu,-13.282509,-176.176447,Oceania
Western Sahara,El Aaiún,27.125287,-13.1625,Africa
Yemen,Sana'a,15.369445,44.191007,Asia
Zambia,Lusaka,-15.387526,28.322817,Africa
Zimbabwe,Harare,-17.825166,31.03351,Africa
